chain_len,p,tot_ep_until_100,heads_num,feature_1_hot
10,0.5,614,20,False
10,0.5,606,20,False
10,0.5,591,20,False
12,0.5,578,20,False
12,0.5,562,20,False
12,0.5,567,20,False
14,0.5,518,20,False
14,0.5,518,20,False
14,0.5,554,20,False
16,0.5,529,20,False
16,0.5,530,20,False
16,0.5,582,20,False
18,0.5,487,20,False
18,0.5,494,20,False
18,0.5,526,20,False
20,0.5,469,20,False
20,0.5,475,20,False
20,0.5,510,20,False
22,0.5,507,20,False
22,0.5,931,20,False
22,0.5,446,20,False
24,0.5,465,20,False
24,0.5,625,20,False
24,0.5,420,20,False
26,0.5,660,20,False
26,0.5,495,20,False
26,0.5,877,20,False
28,0.5,567,20,False
28,0.5,618,20,False
28,0.5,521,20,False
30,0.5,2000,20,False
30,0.5,499,20,False
30,0.5,2000,20,False
32,0.5,417,20,False
32,0.5,456,20,False
32,0.5,461,20,False
34,0.5,523,20,False
34,0.5,2000,20,False
34,0.5,757,20,False
36,0.5,480,20,False
36,0.5,1012,20,False
36,0.5,832,20,False
38,0.5,519,20,False
38,0.5,1451,20,False
38,0.5,455,20,False
40,0.5,780,20,False
40,0.5,1580,20,False
40,0.5,473,20,False
42,0.5,1343,20,False
42,0.5,548,20,False
42,0.5,921,20,False
44,0.5,954,20,False
44,0.5,694,20,False
44,0.5,2000,20,False
46,0.5,558,20,False
46,0.5,375,20,False
46,0.5,653,20,False
48,0.5,2000,20,False
48,0.5,993,20,False
48,0.5,525,20,False
50,0.5,1387,20,False
50,0.5,2000,20,False
50,0.5,596,20,False
52,0.5,743,20,False
52,0.5,616,20,False
52,0.5,878,20,False
54,0.5,485,20,False
54,0.5,2000,20,False
54,0.5,711,20,False
56,0.5,2000,20,False
56,0.5,2000,20,False
56,0.5,1551,20,False
58,0.5,1055,20,False
58,0.5,573,20,False
58,0.5,1595,20,False
60,0.5,808,20,False
60,0.5,2000,20,False
60,0.5,936,20,False
62,0.5,1078,20,False
62,0.5,2000,20,False
62,0.5,825,20,False
64,0.5,882,20,False
64,0.5,833,20,False
64,0.5,1002,20,False
66,0.5,1406,20,False
66,0.5,2000,20,False
66,0.5,2000,20,False
68,0.5,1591,20,False
68,0.5,2000,20,False
68,0.5,2000,20,False
70,0.5,791,20,False
70,0.5,2000,20,False
70,0.5,813,20,False
72,0.5,739,20,False
72,0.5,1156,20,False
72,0.5,742,20,False
74,0.5,1232,20,False
74,0.5,1035,20,False
74,0.5,2000,20,False
76,0.5,685,20,False
76,0.5,2000,20,False
76,0.5,2000,20,False
78,0.5,1743,20,False
78,0.5,1938,20,False
78,0.5,2000,20,False
80,0.5,1226,20,False
80,0.5,1727,20,False
80,0.5,2000,20,False
82,0.5,1801,20,False
82,0.5,1747,20,False
82,0.5,917,20,False
84,0.5,2000,20,False
84,0.5,1495,20,False
84,0.5,1289,20,False
86,0.5,731,20,False
86,0.5,1371,20,False
86,0.5,2000,20,False
88,0.5,2000,20,False
88,0.5,2000,20,False
88,0.5,2000,20,False
90,0.5,739,20,False
90,0.5,1600,20,False
90,0.5,2000,20,False
94,0.5,993,20,False
96,0.5,1217,20,False
96,0.5,1734,20,False
96,0.5,736,20,False
