chain_len,p,tot_ep_until_100,heads_num,feature_1_hot
10,0.5,583,20,True
10,0.5,593,20,True
10,0.5,580,20,True
12,0.5,552,20,True
12,0.5,554,20,True
12,0.5,543,20,True
14,0.5,507,20,True
14,0.5,513,20,True
14,0.5,514,20,True
16,0.5,1299,20,True
16,0.5,493,20,True
16,0.5,662,20,True
18,0.5,460,20,True
18,0.5,2000,20,True
18,0.5,472,20,True
20,0.5,2000,20,True
20,0.5,2000,20,True
20,0.5,2000,20,True
22,0.5,1844,20,True
22,0.5,418,20,True
22,0.5,2000,20,True
24,0.5,1767,20,True
24,0.5,2000,20,True
24,0.5,556,20,True
26,0.5,2000,20,True
26,0.5,1824,20,True
26,0.5,2000,20,True
28,0.5,2000,20,True
28,0.5,2000,20,True
28,0.5,2000,20,True
30,0.5,2000,20,True
30,0.5,1218,20,True
30,0.5,2000,20,True
32,0.5,2000,20,True
32,0.5,2000,20,True
32,0.5,2000,20,True
34,0.5,2000,20,True
34,0.5,894,20,True
34,0.5,709,20,True
36,0.5,2000,20,True
36,0.5,2000,20,True
36,0.5,2000,20,True
38,0.5,2000,20,True
38,0.5,2000,20,True
38,0.5,2000,20,True
40,0.5,2000,20,True
40,0.5,2000,20,True
40,0.5,2000,20,True
42,0.5,2000,20,True
42,0.5,2000,20,True
42,0.5,2000,20,True
44,0.5,2000,20,True
44,0.5,2000,20,True
44,0.5,2000,20,True
46,0.5,1510,20,True
46,0.5,2000,20,True
46,0.5,2000,20,True
48,0.5,2000,20,True
48,0.5,2000,20,True
48,0.5,2000,20,True
50,0.5,2000,20,True
50,0.5,2000,20,True
50,0.5,2000,20,True
52,0.5,2000,20,True
52,0.5,2000,20,True
52,0.5,2000,20,True
54,0.5,1154,20,True
54,0.5,2000,20,True
54,0.5,2000,20,True
56,0.5,2000,20,True
56,0.5,2000,20,True
56,0.5,2000,20,True
58,0.5,2000,20,True
58,0.5,2000,20,True
58,0.5,2000,20,True
60,0.5,2000,20,True
60,0.5,2000,20,True
60,0.5,2000,20,True
62,0.5,2000,20,True
62,0.5,2000,20,True
62,0.5,2000,20,True
64,0.5,2000,20,True
64,0.5,2000,20,True
64,0.5,2000,20,True
66,0.5,2000,20,True
66,0.5,2000,20,True
66,0.5,2000,20,True
68,0.5,2000,20,True
68,0.5,2000,20,True
68,0.5,2000,20,True
70,0.5,2000,20,True
70,0.5,2000,20,True
70,0.5,2000,20,True
72,0.5,2000,20,True
72,0.5,2000,20,True
72,0.5,2000,20,True
74,0.5,2000,20,True
74,0.5,2000,20,True
74,0.5,2000,20,True
76,0.5,2000,20,True
76,0.5,2000,20,True
76,0.5,2000,20,True
78,0.5,2000,20,True
78,0.5,2000,20,True
78,0.5,2000,20,True
80,0.5,2000,20,True
80,0.5,2000,20,True
80,0.5,2000,20,True
82,0.5,2000,20,True
82,0.5,2000,20,True
82,0.5,2000,20,True
84,0.5,2000,20,True
84,0.5,2000,20,True
84,0.5,2000,20,True
86,0.5,2000,20,True
86,0.5,2000,20,True
86,0.5,1375,20,True
88,0.5,2000,20,True
88,0.5,2000,20,True
88,0.5,2000,20,True
90,0.5,2000,20,True
90,0.5,2000,20,True
90,0.5,2000,20,True
