chain_len,p,tot_ep_until_100,heads_num,feature_1_hot
10,1,962,1,False
10,1,591,1,False
10,1,615,1,False
14,1,2000,1,False
10,1,588,1,False
10,1,2000,1,False
10,1,588,1,False
12,1,2000,1,False
12,1,646,1,False
12,1,555,1,False
14,1,2000,1,False
14,1,574,1,False
14,1,590,1,False
16,1,708,1,False
16,1,2000,1,False
16,1,2000,1,False
18,1,2000,1,False
18,1,748,1,False
18,1,2000,1,False
20,1,2000,1,False
20,1,663,1,False
20,1,2000,1,False
22,1,2000,1,False
22,1,2000,1,False
22,1,2000,1,False
24,1,2000,1,False
24,1,1028,1,False
24,1,2000,1,False
26,1,2000,1,False
26,1,2000,1,False
26,1,2000,1,False
28,1,2000,1,False
28,1,2000,1,False
28,1,2000,1,False
