chain_len,p,tot_ep_until_100,heads_num,feature_1_hot
10,1,959,1,True
10,1,993,1,True
10,1,880,1,True
14,1,2000,1,True
14,1,1267,1,True
14,1,940,1,True
18,1,1088,1,True
18,1,2000,1,True
18,1,1513,1,True
22,1,2000,1,True
22,1,2000,1,True
22,1,2000,1,True
26,1,2000,1,True
26,1,2000,1,True
26,1,2000,1,True
10,1,907,1,True
10,1,841,1,True
10,1,1035,1,True
12,1,1160,1,True
12,1,1095,1,True
12,1,1086,1,True
14,1,1460,1,True
14,1,1314,1,True
14,1,2000,1,True
16,1,1460,1,True
16,1,2000,1,True
16,1,1360,1,True
18,1,2000,1,True
18,1,2000,1,True
18,1,2000,1,True
20,1,2000,1,True
20,1,1476,1,True
20,1,2000,1,True
22,1,2000,1,True
22,1,2000,1,True
22,1,2000,1,True
24,1,2000,1,True
24,1,2000,1,True
24,1,2000,1,True
26,1,2000,1,True
26,1,2000,1,True
26,1,2000,1,True
28,1,2000,1,True
28,1,2000,1,True
28,1,2000,1,True
